#id        #scene name
0x00000000 DOUBLE_TAP_TO_WAKE
0x00000001 LOW_POWER
0x00000002 SUSTAINED_PERFORMANCE
0x00000003 FIXED_PERFORMANCE
0x00000004 VR
0x00000005 LAUNCH
0x00000006 EXPENSIVE_RENDERING
0x00000007 INTERACTIVE
0x00000008 DEVICE_IDLE
0x00000009 DISPLAY_INACTIVE
0x0000000a AUDIO_STREAMING_LOW_LATENCY
0x0000000b CAMERA_STREAMING_SECURE
0x0000000c CAMERA_STREAMING_LOW
0x0000000d CAMERA_STREAMING_MID
0x0000000e CAMERA_STREAMING_HIGH
0x0000000f GAME
0x00000010 GAME_LOADING

# boost start
0x10000001 INTERACTION
0x10000002 DISPLAY_UPDATE_IMMINENT
0x10000003 ML_ACC
0x10000004 AUDIO_LAUNCH
0x10000005 CAMERA_LAUNCH
0x10000006 CAMERA_SHOT

# sessionhint
0x20000001 CPU_LOAD_UP
0x20000002 CPU_LOAD_DOWN
0x20000003 CPU_LOAD_RESET
0x20000004 CPU_LOAD_RESUME
0x20000005 POWER_EFFICIENCY

# aw expand mode
0x70000001 booting
0x70000002 wifi_perf
0x70000003 type_c_audio_output
0x70000004 double_display_output
0x70000005 camera_stream
0x70000006 enable_uclamp_limit
0x70000007 face_unlock

